,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
60,el veinticuatro de noviembre vuelo. _x0015__x0015_," cuándo te vas, digo a b-  ? _x0015__x0015_"," uy, cualquiera. _x0015__x0015_ ",en serio  ? _x0015__x0015_,"a bangkok, sí. _x0015__x0015_",a a bangkok? _x0015__x0015_,,a bangkok. _x0015__x0015_,a bangkok.,,,
61,mhm. _x0015__x0015_,qué pena que así me dijo Lupita. _x0015__x0015_,ya lo tenía reservado para la otra semana. _x0015__x0015_,Ella te llamó ayer? _x0015__x0015_,sí. _x0015__x0015_,te dijo que te iba a llamar yo ahora? _x0015__x0015_,"no, no, fíjese que . _x0015__x0015_ tal vez ha tratado de llamar pero yo no estuve, vine muy tarde. _x0015__x0015_",ah. _x0015__x0015_,ajá. _x0015__x0015_ fui a mmh . _x0015__x0015_,,,
62,"bueno o sea básicamente lo que me dijo fue pues . _x0015__x0015_ yo Le dije m- oiga es que no está trabajando, he tratado esto estoy lo otro, no está trabajando o sea que qué puedo hacer o sea porqueEsta es la  la la crema de Mi tesis. _x0015__x0015_ y  piensa sobre esto y lo otro y que sé ni que . _x0015__x0015_ y . _x0015__x0015_ y me presenta, nos reunimos . _x0015__x0015_ ",y no sé que Le qué Le dijiste? _x0015__x0015_,"yo pues, pues no estaba o sea  yo sabía que yo no había llegado a ning- a ningún lugar pero que ._x0015__x0015_ él no me, él no me . _x0015__x0015_ ",y ya te reuniste otra vez con él? _x0015__x0015_,y bueno sí o sea yo me reuní pero Al ot- Al Al día siguiente yo Le&+en . _x0015__x0015_,bueno pues chico búscate entonces que tal si te hablas con Unmaestro de otra universidad? _x0015__x0015_,yo Le entregué algo y . _x0015__x0015_ no no no no no no  . _x0015__x0015_,porque él ese maestro ese advisor@s tuyo no es el único expertoen esa área. _x0015__x0015_,"no pero o sea yo lo que,   él es como . _x0015__x0015_ o sea él es más bien como el tipo este que es bien researcher@s. _x0015__x0015_ o sea que te da muchas ideas y ",,,
63,sí. _x0015__x0015_,dijo él? _x0015__x0015_,"no, él dijo di- dizque Tu ibas a mandar a- todo de deporte . _x0015__x0015_","bueno, tú estás formando Un equipo? _x0015__x0015_","sí, yo estoy xxx aquí. _x0015__x0015_","sí yo sé, ése no va a vivir para allá . _x0015__x0015_",,que yo Le dije que venía a vivir para acá. _x0015__x0015_,sí por miami xxx que este . _x0015__x0015_,,,
64,"el veintisiete es carnaval, mami  ? _x0015__x0015_","  zángano, tú tienes, tú tienes . _x0015__x0015_",veintisiete el el &+ven . _x0015__x0015_,tú tienes gripe l- gripecita? _x0015__x0015_,sí. _x0015__x0015_,"ay sí suenas fa- suenas fañoso, ahora se te pegó a ti. _x0015__x0015_",,"qué cosa. _x0015__x0015_ Mira y ma- y Mario, se me- mejoró de la gripe? _x0015__x0015_",sí. _x0015__x0015_,,,
65,"mhm . _x0015__x0015_ no y la otra noticia es, que hoy me chocaron que estoy Viva deMilagro. _x0015__x0015_",ya usted sabe. _x0015__x0015_,ajá. _x0015__x0015_,"sí? no me diga, tía. _x0015__x0015_",sí. _x0015__x0015_,no me diga eso. _x0015__x0015_,"Mira, aquí hay Un muchacho que vive aquí. ",ey. _x0015__x0015_,"el que es e- mecánico, y  cuando vio el carro me dijo, uy se lo dedo-  el me dijo la palabra, no descentrado, sino ",,,
66,"ah Ella se parece así chaparrita, piojita, así que es de iowa. _x0015__x0015_",sí. _x0015__x0015_,"eh ya tiene colchón, tiene muebles, . _x0015__x0015_ este, la casa está bien Bonita. _x0015__x0015_ se me figuró tipo la pola, la amiga de Marcela. _x0015__x0015_",y Ella  es de iowa? _x0015__x0015_,"sí, muy agradable la muchacha. _x0015__x0015_ y . _x0015__x0015_",ah y quedaste de resolverle? _x0015__x0015_,"eh quedé de hablarle, ajá. _x0015__x0015_",de pensarle pues. _x0015__x0015_,"entonces ya tienes todo listo. _x0015__x0015_ lo bueno, por ejemplo, es que no tienes que pagar fee@s. _x0015__x0015_ no sé si te platicó más xxx . _x0015__x0015_",,,
67,que cayó rayos y centellas.,oh. _x0015__x0015_,pues no es el que el teléfono no suena parece que está dañado desdela tormenta eléctrica que hubo aquí. _x0015__x0015_,"pero ustedes no, no Han salido de ahí? _x0015__x0015_","sí, hemos estado todo el día afuera desde Esta mañana, perollegamos hace Una hora. _x0015__x0015_",ajá. _x0015__x0015_,"porque fue que, que por la mañana y tita no s- se levantó a lascinco, . _x0015__x0015_",ajá. _x0015__x0015_,"para hacerle las, las, las habichuelas Al santuario, Al padreGuillermo. _x0015__x0015_",,,
68,sí. _x0015__x0015_,"de la, las compañías americanas que estaban aquí. _x0015__x0015_",tienes con . _x0015__x0015_,tú recuerdas? _x0015__x0015_,"sí, sí, sí. ","y yo lo tengo, ya lo tengo lo que necesito es cómo enviártelo. _x0015__x0015_","y qué, qué información pudiste conseguir de Esta gente? _x0015__x0015_","bueno, pude conseguir las compañías que están laborando . _x0015__x0015_",mhm. _x0015__x0015_,,,
69,"sí sí me apareció, sí claro. _x0015__x0015_","el que te a-, te había refundido, el de venirte. _x0015__x0015_",,0  . _x0015__x0015_ ya lo . _x0015__x0015_ y ya lo confirmaste amor? _x0015__x0015_,"ya lo confirme sí, es el veinticuatro, pero voy a tratar de salirmás temprano. _x0015__x0015_","okey . _x0015__x0015_ cómo, el veinticuatro es? _x0015__x0015_",sí. _x0015__x0015_,no puedes venirte el veintitrés? _x0015__x0015_,"  bueno, yo me puedo venir desde el veintiuno pero ",,,
70,,"Mira, es diez cuarenta y seis, . _x0015__x0015_","sí. _x0015__x0015_ y por, . _x0015__x0015_ ay, ay, ay, ay, ay, ay, ay, ay, qué cosas. _x0015__x0015_","tienes teléfono? _x0015__x0015_ diez cuarenta y seis, amsterdam avenue@s. se escribe a. _x0015__x0015_ m , s , . _x0015__x0015_ t , e . _x0015__x0015_",mmh. sí. _x0015__x0015_,"r , . _x0015__x0015_","amsterdam, verdad? _x0015__x0015_","amsterdam. _x0015__x0015_ ajá, tú sabes cómo escribirlo? _x0015__x0015_",ajá. _x0015__x0015_,,,
71,hoy e- hablamos con Mi tío y Mi tía Sabina también. _x0015__x0015_,todo bien? _x0015__x0015_,sí  . bien bien. _x0015__x0015_,hablaron? _x0015__x0015_,"y sí, te mandan saludos. _x0015__x0015_","oy, muchas gracias. cuándo hablaron? hoy día? _x0015__x0015_","hoy día, sí. _x0015__x0015_","ay, qué lindo. qué dice? cómo la están pasando ellos? bien? _x0015__x0015_","sí, bien bien, fueron a ver a los chicos Un ratito. _x0015__x0015_",,,
72,después yo lo recojo. _x0015__x0015_,ya. _x0015__x0015_,"s- sí, sí. _x0015__x0015_ y robertito pues se ha ido a visitar a los abuelos. _x0015__x0015_","m- ya, después lo recoges tú? _x0015__x0015_","sí, sí. _x0015__x0015_","ya, Julia empezó a estudiar. _x0015__x0015_",ya empezó a estudiar julita? sí. _x0015__x0015_,"sí, ya empezó a estudiar desde el ","desde el lunes, qué bien. _x0015__x0015_",,,
73,"no, lo que quiere es tocar teclado y xxx . _x0015__x0015_"," habló conmigo para que Le diera teclado, que no se que más xxx . _x0015__x0015_",will,Esta inte- el está interesado pues en . _x0015__x0015_  en superarse no? eso está bien. _x0015__x0015_,"sí, sí la otra vez me estaba . _x0015__x0015_ andaba con nosotros y . _x0015__x0015_",ajá. _x0015__x0015_,"y diciéndome que él quería aprender, que esto . _x0015__x0015_",ajá. _x0015__x0015_,sí. _x0015__x0015_,,,
74,"so@s está pensando en regresarse . _x0015__x0015_ en, a- en agosto, por ahí. ","ah, está bueno, entonces. ","eh, s- o- Le dio miedo.   ","quique y las niñas están bien, todos, verdad? dice Madeline también. _x0015__x0015_",sí.,oh yeah@s ? _x0015__x0015_ pues sí xxx . _x0015__x0015_,"a- u- p-  a ver, Le dije que se viniera para acá, pero no, no creo quepuedan. ","no, no creo que puede también eh . _x0015__x0015_ bárbara dijo que Le iba a dar el pasaje de miami, para que vinierapara acá. ",mhm. _x0015__x0015_,,,
75,"y y lo operamos, huyendito. _x0015__x0015_",ay. _x0015__x0015_,"el xxx . _x0015__x0015_ eh obstrucción en la médula. _x0015__x0015_ la tercera, cuarta, quinta, y sexta cervical Le estaban jodiendo. _x0015__x0015_",ay pero está mejor? _x0015__x0015_,sí está mejor. _x0015__x0015_,full@s &+entonc . _x0015__x0015_,o sea todavía no está bien porque fue el jueves que lo operamos . _x0015__x0015_,ajá. _x0015__x0015_,"y qué te digo? el todavía no se puede mover, tiene que durar quince días acostadoo sea sin pararse. _x0015__x0015_  a pararlo, tiene que durar tres meses andando con, . _x0015__x0015_ con andador . _x0015__x0015_ y toda esa vaina pero . _x0015__x0015_",,,
76,"ay Nada estoy desesperada. tengo ese examen y, y no, no he ni siquiera estudiado que es lo mástriste. _x0015__x0015_",y tú qué? _x0015__x0015_,,estudiando para mañana? _x0015__x0015_ y hablaste con ese tipo a ver si te ayudaba? _x0015__x0015_,"sí hice m-, fui y me reuní con él, y de todas maneras pues me",smack de todas maneras no entiendo Nada.,"entonces, ah yo no &+s . _x0015__x0015_",pero medio te explicó o no? _x0015__x0015_,"sí, pues me, me explicó pero de todas maneras no entendí Nada yademás llevaba desde las dos y media ",,,
77,,cuándo se piensa venir Ella? _x0015__x0015_,"entonces yo Le dije, no Mi hijita, suliana no sube . _x0015__x0015_ tarifas hasta diciembre. _x0015__x0015_ hasta el catorce de diciembre. _x0015__x0015_",ya compró el tiquete? _x0015__x0015_,pues yo creo que sí. _x0015__x0015_,,con suliana? _x0015__x0015_,no  con otra aerolínea. _x0015__x0015_,ah  . _x0015__x0015_,,,
78,"ah ya, gracias, está bien &+boni . _x0015__x0015_",y el tazón te lo estoy regalando yo. _x0015__x0015_,ya. _x0015__x0015_,"llegó bien, no? no no se rajó? _x0015__x0015_",sí sí. _x0015__x0015_,"ya, ",sí. _x0015__x0015_,"ésas sácalas, son de vidrio, son de Stephanie. _x0015__x0015_",ya. _x0015__x0015_,,,
79,"ya, Julia empezó a estudiar. _x0015__x0015_","sí, sí. _x0015__x0015_","m- ya, después lo recoges tú? _x0015__x0015_",ya empezó a estudiar julita? sí. _x0015__x0015_,"sí, ya empezó a estudiar desde el ","desde el lunes, qué bien. _x0015__x0015_","el sí, ahorita pongamos está eh en Su clase, desde las diez . _x0015__x0015_ ",mhm. _x0015__x0015_ ajá. _x0015__x0015_,otros días tiene hasta las cuatro de la tarde. _x0015__x0015_,,,
80,y cuidando Al nieto. _x0015__x0015_,"ah, yo no voy para allá hasta que no caliente Un chisque ","sí y cui-, . _x0015__x0015_","sí está grande, verdad? _x0015__x0015_","sí tiene Un mes y p-, y yo creo que ya pesa diez libras. _x0015__x0015_","guau que grande. y Gloria, Daniel. t- te voy a poner a Daniel. _x0015__x0015_",tiene verde los ojos. _x0015__x0015_,0  . _x0015__x0015_,ah. _x0015__x0015_,,,
81,"me recetó ahí, las pastillas me las puso más fuertes. _x0015__x0015_",mhm. _x0015__x0015_ mhm. _x0015__x0015_,"sí el me dijo que, que no había problema. _x0015__x0015_",más fuertes? _x0015__x0015_,sí. _x0015__x0015_,"y cómo se ll-, cómo se llama? _x0015__x0015_","unas pastillas fuertes. no la que, las mismas que yo estoy tomando . _x0015__x0015_",mhm. _x0015__x0015_,"pero que Sean Un poquito más fuer-, a ver si, yo las voy a llevar ala farmacia, a ver si son las mismas. _x0015__x0015_",,,
82,sí por miami xxx que este . _x0015__x0015_,que yo Le dije que venía a vivir para acá. _x0015__x0015_,,por miami es? _x0015__x0015_,sí. _x0015__x0015_,"ah no, me dijo que para acá. _x0015__x0015_",más bueno. _x0015__x0015_,"por eso fue que, ese otro me dijo que Le mandara los papeles, y yo",smack . _x0015__x0015_,,,
83,Mayra me las llenó. _x0015__x0015_,"te pidieron documentos . _x0015__x0015_ choni, choni te ayudó l- llenar las aplicaciones de, lassolicitudes  . _x0015__x0015_",mmh? sí. sí. _x0015__x0015_,Mayra te las llenó? y te . _x0015__x0015_,"Mayra me las llenó, sí. _x0015__x0015_","oye, y te las llenó bien? está ile- y la hizo bien? _x0015__x0015_",mhm. sí. sí. _x0015__x0015_,"okey, y . _x0015__x0015_ y nadie más, en- te- eh xxx para ver si estaba correcta, larevisaron? _x0015__x0015_","no, todavía, porque la entrevista es el día cuatro. _x0015__x0015_",,,
84,eh? _x0015__x0015_,todavía allá está caliente todavía allá? _x0015__x0015_,oye mano el venado vue- ah está caliente el venado esa cosa oíste._x0015__x0015_,todavía está caliente allá? _x0015__x0015_,sí. _x0015__x0015_,hombre y aquí hace Un frío ya. _x0015__x0015_,hello hello@s . _x0015__x0015_,"aló, aló? _x0015__x0015_","aló, me oyes? _x0015__x0015_",,,
85,sí. _x0015__x0015_,"okey entonces. _x0015__x0015_ y qué más Le iba a decir? _x0015__x0015_ ah . _x0015__x0015_ oh este . _x0015__x0015_ quería hablar con la &+Ai . _x0015__x0015_ no sé, mami . _x0015__x0015_ o o pa. _x0015__x0015_",ya? _x0015__x0015_,Le digo . _x0015__x0015_ mami? _x0015__x0015_,"sí hijita, sí. _x0015__x0015_",oh qué tal? cómo está? buenas tardes ma. _x0015__x0015_,bien. cómo estás hija? _x0015__x0015_,sabe qué? se acuerda . _x0015__x0015_ que yo iba a comprar . _x0015__x0015_ queso rojo? _x0015__x0015_,ya. _x0015__x0015_,,,
86,"Mayra me las llenó, sí. _x0015__x0015_",Mayra te las llenó? y te . _x0015__x0015_,Mayra me las llenó. _x0015__x0015_,"oye, y te las llenó bien? está ile- y la hizo bien? _x0015__x0015_",mhm. sí. sí. _x0015__x0015_,"okey, y . _x0015__x0015_ y nadie más, en- te- eh xxx para ver si estaba correcta, larevisaron? _x0015__x0015_","no, todavía, porque la entrevista es el día cuatro. _x0015__x0015_",bueno que la miren para ver si todo está bien. _x0015__x0015_ completo. _x0015__x0015_,mhm. _x0015__x0015_ mmh. _x0015__x0015_,,,
87,para evitar porque seguro por estudiante te van a empezar a pedirmás papeles y todo eso. _x0015__x0015_,"no, sí es mejor con turista porque  . _x0015__x0015_",pero yo creo que mejor es que te vayas con Una de turista. _x0015__x0015_,"sí, no la cosa es el pasaje que . _x0015__x0015_ yo el pasaje lo estoy comprando, lo voy a comprar, o sea lo estoycomprando el más tiempo posible, entiendes? _x0015__x0015_",claro y cuánto es lo más tiempo que puede ser . _x0015__x0015_,"creo que es cuatro meses, tres . _x0015__x0015_","bueno, cómprate ése y ya  ése de- pues después que estés allá puedes hacer Un curso de la señora marina me dijo que Ella encontró allá folletos en elhotel  de cursos de tres semanas, de Un mes, de dos meses, o sea de todotipo de . _x0015__x0015_",de &+co . _x0015__x0015_,desde poquito tiempo hasta bastante. _x0015__x0015_,,,
88,,,y yo por eso que meto la pata.,"que mi-  Mira, fue mitad y mitad que tú dijiste. oíste? _x0015__x0015_","sí, claro, eh  . _x0015__x0015_","que eso fue lo primero que me dijeron. _x0015__x0015_  ay, pero . _x0015__x0015_  ","ajá  . _x0015__x0015_ ey, pero me imagino que ellos dirán Una señal cuando ya no nosestán grabando. ",mhm. _x0015__x0015_,para no hacer el papelón. _x0015__x0015_,,,
89,cancelé ese viaje porque no no puedo ir. _x0015__x0015_,imaginate  . _x0015__x0015_,"nunca me podía pasar a mí, Le digo, pero . _x0015__x0015_","ajá,  no te has hecho ciudadana todavía marisita? _x0015__x0015_","sí, soy ciudadana, pero nunca saqué Mi pasaporte. ",fijate pues. _x0015__x0015_,"nunca saqué Mi pasaporte, ya tengo dos años. _x0015__x0015_",no hombre. _x0015__x0015_,"y ah mmh, . _x0015__x0015_ nunca lo saqué porque pues . _x0015__x0015_ n- no pensaba viajar &+tampo . _x0015__x0015_",,,
90,está este aprendiendo español. _x0015__x0015_,verdad que sí.,"mhm  . _x0015__x0015_ no pero, predomina más el español. _x0015__x0015_",hasta los americanos. te has dado cuenta? _x0015__x0015_,"los a- el a- los americanos están aprendiendo bastante español, sí._x0015__x0015_",mhm.,"él e-, él está yendo a la escuela de español. _x0015__x0015_",y ha aprendido algo? _x0015__x0015_,ah bastante puede ahora. _x0015__x0015_,,,
91,"aló, aló? _x0015__x0015_",hello hello@s . _x0015__x0015_,hombre y aquí hace Un frío ya. _x0015__x0015_,"aló, me oyes? _x0015__x0015_","dime, sí te oigo. _x0015__x0015_",pues sí mano es. _x0015__x0015_,a- aquí se enfrió en ya el venado ya. _x0015__x0015_,se enfrió allá? _x0015__x0015_,mhm. _x0015__x0015_,,,
92,"quien, quien vaya &+pa . _x0015__x0015_","es de &+estudia . _x0015__x0015_ 0  . _x0015__x0015_ ah, Mira qué vaciado. _x0015__x0015_","eh, sí. ",no oyes a chicharina aquí? _x0015__x0015_,sí.,,"y de hecho me dijeron que, que Mi . _x0015__x0015_ que Mi sentido Del olfato es, es arriba de lo normal. _x0015__x0015_",a poco sí? _x0015__x0015_,sí.,,,
93,y qué? cómo estás?," bueno, lo voy a intentar otra vez, está semana. _x0015__x0015_","ya, ya no quieres llamar media hora gratis a ninguna parte. _x0015__x0015_",hoy hace Un día bello aquí. y allá? _x0015__x0015_,"sí, aquí también, espectacular. _x0015__x0015_","pero no sé cómo está, si está frío, . _x0015__x0015_","ah, yo tampoco. ",sí? _x0015__x0015_,sí. yo andaba sin guantes ni Nada. _x0015__x0015_,,,
94,,si e- necesitas otra cosa? _x0015__x0015_,"pero, pero si me dices . _x0015__x0015_","bueno, no pero aparte de eso que yo te lleve algo? _x0015__x0015_","ah mmh . _x0015__x0015_ sí, si puedes. _x0015__x0015_",a ver. _x0015__x0015_,"este, el la f- franelita para limpiar. _x0015__x0015_","ah sí, ya las tengo listas. _x0015__x0015_","este . _x0015__x0015_ no se s- si tienes . _x0015__x0015_ él, los las tacitas para medir, extra. _x0015__x0015_",,,
95,"ah bueno, a pues son, está bien entonces, pues sí . _x0015__x0015_",no treinta minutos. _x0015__x0015_,"yo no voy a estar perdiendo Mi tiempo mandándole dizque papeles decaja, de casa para allá, pues yo sé que no va a venir para acá. _x0015__x0015_ es Un minuto nomás que puedo hablar? _x0015__x0015_",es maría? _x0015__x0015_,sí. _x0015__x0015_,"mmh, cómo está? _x0015__x0015_"," el que está, el que está mal soy yo . _x0015__x0015_",qué es lo que tienes? _x0015__x0015_,Nada. _x0015__x0015_,,,
96,"sí, . _x0015__x0015_ tiene que reaccionar. _x0015__x0015_",,ah oye. _x0015__x0015_,tú crees?,"eh claro, oye . _x0015__x0015_",,"está bien, está, ahorita está en, &+n . _x0015__x0015_",san Francisco? _x0015__x0015_,san Francisco pero debe venir dentro de dos tres días. _x0015__x0015_,,,
97,"no, no, no, no, pero tengo unas ganas. _x0015__x0015_","  no, no, no, no. _x0015__x0015_","0  . _x0015__x0015_  &+no . _x0015__x0015_ 0  . _x0015__x0015_ bueno pri-, no puedo ir p-, coño con Esta broma, si me, ",no pediste Una xxx pero yo no hablaste con el profesor? a lo mejor hasta dieron prórroga y tú no sabes. pero es que eso te pasa a ti por . _x0015__x0015_," sí es que también, es que yo fui Una bruta,   es que, "," 0  . _x0015__x0015_  pero ven acá.  dime algo, este, qué pasó en, . _x0015__x0015_",qué paso . _x0015__x0015_,"qué . _x0015__x0015_ no, cómo estas haciendo, no tiene que, las computadoras lascerraron, IBM . _x0015__x0015_",,,,
